LoanID,CustomerID,LoanTypeID,LoanAmount_INR,InterestRate_Pct,Term_Months,StartDate,LoanStatus
LN-000001,CUST-12452,LT-101,4790000,8.99,120,2024-03-18,Active
LN-000002,CUST-12217,LT-101,3640000,12.25,240,2025-05-02,Defaulted
LN-000003,CUST-09835,LT-101,4140000,7.94,180,2022-03-26,Defaulted
LN-000004,CUST-03480,LT-101,4570000,9.89,180,2025-01-18,Active
LN-000005,CUST-12084,LT-101,2490000,9.5,240,2023-02-06,Active
LN-000006,CUST-14207,LT-103,1250000,14.21,120,2021-08-10,Active
LN-000007,CUST-04043,LT-102,400000,13.25,48,2025-09-16,Active
LN-000008,CUST-03017,LT-101,3740000,7.97,180,2021-07-01,Active
LN-000009,CUST-08446,LT-101,2810000,10.85,180,2024-09-22,Active
LN-000010,CUST-00887,LT-102,1100000,13.88,36,2024-10-01,Active
LN-000011,CUST-14008,LT-101,2150000,8.71,120,2024-11-30,Active
LN-000012,CUST-09573,LT-103,520000,11.8,36,2025-02-15,Active
LN-000013,CUST-10481,LT-101,3330000,8.39,180,2023-02-17,Active
LN-000014,CUST-14451,LT-101,6350000,9.64,240,2022-11-09,Active
LN-000015,CUST-09258,LT-105,2870000,16.83,60,2025-05-20,Active
LN-000016,CUST-09964,LT-102,300000,14.36,12,2025-01-11,Fully Paid
LN-000017,CUST-12964,LT-106,1280000,18.95,18,2024-12-02,Fully Paid
LN-000018,CUST-07629,LT-101,5780000,9.67,360,2024-06-28,Active
LN-000019,CUST-00401,LT-101,1700000,9.93,120,2025-09-16,Active
LN-000020,CUST-02290,LT-101,4350000,9.16,180,2022-12-08,Active
LN-000021,CUST-04342,LT-105,2110000,15.95,84,2024-04-24,Active
LN-000022,CUST-04421,LT-103,1320000,10.46,84,2021-06-24,Active
LN-000023,CUST-00065,LT-102,1040000,13.26,60,2021-09-19,Active
LN-000024,CUST-04953,LT-102,890000,13.95,24,2025-04-23,Active
LN-000025,CUST-12907,LT-103,910000,12.01,48,2023-05-29,Active
LN-000026,CUST-03314,LT-103,650000,9.32,48,2022-10-23,Active
LN-000027,CUST-01410,LT-102,280000,15.95,48,2025-01-07,Defaulted
LN-000028,CUST-00395,LT-103,760000,10.27,36,2022-04-06,Fully Paid
LN-000029,CUST-14866,LT-102,900000,14.67,36,2023-07-22,Active
LN-000030,CUST-10154,LT-102,490000,13.92,48,2023-10-06,Active
LN-000031,CUST-00198,LT-105,1070000,17.77,84,2021-07-11,Active
LN-000032,CUST-07669,LT-101,4270000,8.6,120,2025-07-30,Active
LN-000033,CUST-07934,LT-102,490000,13.68,48,2025-08-30,Active
LN-000034,CUST-01577,LT-101,3030000,8.82,360,2022-08-22,Active
LN-000035,CUST-10966,LT-101,1710000,9.07,240,2023-09-07,Active
LN-000036,CUST-09131,LT-106,900000,17.05,36,2023-04-29,Fully Paid
LN-000037,CUST-02850,LT-103,950000,11.88,120,2023-04-27,Active
LN-000038,CUST-03861,LT-106,790000,16.91,12,2022-08-21,Defaulted
LN-000039,CUST-11104,LT-105,1630000,15.41,120,2025-05-24,Active
LN-000040,CUST-05383,LT-106,1030000,21.52,12,2023-06-30,Fully Paid
LN-000041,CUST-11512,LT-105,750000,14.69,60,2024-08-19,Active
LN-000042,CUST-11297,LT-105,3960000,14.91,36,2023-10-04,Defaulted
LN-000043,CUST-03958,LT-103,820000,9.94,36,2024-10-04,Active
LN-000044,CUST-02118,LT-103,1010000,9.15,120,2023-08-27,Active
LN-000045,CUST-12395,LT-105,2200000,15.96,36,2025-07-29,Active
LN-000046,CUST-14252,LT-106,1240000,18.74,24,2023-09-24,Fully Paid
LN-000047,CUST-08012,LT-105,2450000,16.88,60,2021-12-09,Active
LN-000048,CUST-07778,LT-102,680000,14.25,36,2021-12-09,Fully Paid
LN-000049,CUST-10316,LT-105,2190000,15.75,84,2021-07-18,Active
LN-000050,CUST-10537,LT-102,380000,14.84,12,2023-04-26,Fully Paid
LN-000051,CUST-03615,LT-103,1710000,9.23,48,2023-11-30,Active
LN-000052,CUST-08021,LT-104,940000,11.34,48,2021-09-16,Fully Paid
